Name,Shop Code,Address,Pincode,Latitude,Longitude,Menu Items,Price Range,Category,Subcategory
Coffee By Di Bella Arista,AMD-059-1,", GF/4, Arista Business Hub, Sindhu Bhavan Marg, Bodakdev, Ahmedabad, Gujarat 380059",380059,23.0405444,72.4716325,Menu available on Maps (Images/Link),Avg Dish: ₹200 - ₹400,Food,Cafe
Tea Post - The Desi Cafe,AMD-059-2,", Nr. Taj Lane Hotel, Sankalp Square Lane Nr. S. P. Ring Road, Sindhu Bhavan Marg, Road, Ahmedabad, Gujarat 380059",380059,23.0457954,72.4478218,Menu available on Maps (Images/Link),Avg Dish: ₹200 - ₹400,Food,Cafe
Unlocked Cafe,AMD-006-3,", Umashankar Joshi Marg, near Girish Cold Drinks, Vasant Vihar, Navrangpura, Ahmedabad, Gujarat 380006",380006,23.0331501,72.5217279,"Imaginative restaurant offering nachos, homemade pizza & plentiful desserts, plus drinks.",Avg Dish: ₹200 - ₹400,Food,Cafe
Ristretto Behind The Rods,AMD-009-4,", A-1, Maharaja Palace, Near, Vijay Cross Rd, opp. Gujarat University Plaza, Ahmedabad, Gujarat 380009",380009,23.0408074,72.5130543,Vegetarian fast food & mains served with beverages in a split-level space with textured walls.,Avg Dish: ₹200 - ₹400,Food,Cafe
The Chocolate Room - Mondeal Square,AMD-015-5,", Mondeal Square, Prahlad Nagar, Ahmedabad, Gujarat 380015",380015,23.0123099,72.4913472,Menu available on Maps (Images/Link),Avg Dish: ₹1 - ₹400,Food,Cafe
Tea Post,AMD-015-6,", Garden Opp Sales India, 10, Camps Corner, near Prahladnagar, Prahlad Nagar, Ahmedabad, Gujarat 380015",380015,23.0123099,72.4913472,Menu available on Maps (Images/Link),Avg Dish: ₹1 - ₹400,Food,Cafe
Tea Taprri,AMD-015-7,", Shop no. GF-4, Circle P Complex, SG Hwy Service Rd, Prahlad Nagar, Ahmedabad, Gujarat 380015",380015,23.0123099,72.4913472,Menu available on Maps (Images/Link),Avg Dish: ₹1 - ₹400,Food,Cafe
Starbucks,AMD-015-8,", Ground Floor, Holiday Inn Hotel, Besides Venus Atlantis, 100 Feet Anand Nagar Rd, Prahlad Nagar, Ahmedabad, Gujarat 380015",380015,23.0123099,72.4913472,"Welcoming coffeehouse with handcrafted coffee, espresso & tea, plus breakfast, lunch & pastries.",Avg Dish: ₹1 - ₹900,Beverages,Coffee Shop
Java+,AMD-015-9,", Courtyard Marriott, Satellite Rd, Ramdev Nagar, Ahmedabad, Gujarat 380015",380015,23.0277452,72.4944699,"Relaxed, European-style cafe with outdoor terrace tables & dark decor at an upscale hotel.",Avg Dish: ₹1 - ₹400,Food,Cafe
