Name,Shop Code,Latitude,Longitude,Full Address,Zip Code,Images,Website,Menu_Items_Cleaned
Pavement Coffeehouse - Allston,BOS-AL-101,42.3502999,-71.1678518,"1243 Commonwealth Ave, Allston, MA 02134, United States",2134,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepQIt8yLPKUmMSPJG8dWY5VsuDw2xSz3ELMH5sBuGmCf97x7S6iobjYhBX3UH44nIhccjW6OXimDFG5VETeKTO4PjarPHlyFD0UXdP0XekKZ6xephujkFaer1R3U-27PqJpxKduBA=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerqOTJDigTy-BtLv1IV_QfJ8rp9E245Q7ahlW1EE9-Xu4TZj1EE0v4jovJHm9jgm6WFttILjwTqPn8P-At6ohcvCtaC1fsthsFis4XRctkWYgpbW3xacDtinXiZiLmO1zavZErS=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoPNcJ6fV_YPuZR7iVNKxrsZaW9YPYqCHaMrDk8cLp3RWF3rjD4Blb77B8B0VQ1LvqLbV-_AzioQc_clP0fCOTBJGXGoedQhsx7-nEHuqLiNfn0rsuSF6fYCqoXhnUAPHKxfQleIg=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweqtDYYjRYZqHNlIlT2dcSDL5aQ0vqs0ghHsZ2Cx4B81QGdX6j7G1j-cAZGqrcsijAEH7IidneECJt-rkKWEYPUn5ALSB1J-YABntKjfaK4dbvmqbPkm7JKbSgmWGPn10yBKSfw7XA=w152-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweo-59o2BXyXE-b4ujy_Do8HKg8s712Pa7jM0MmyDvf6F82COt0xqNI7iLVVZ-GE97RQUjncfr7BkQMR_fzRWCTLLGd7cStJ2Tb3z7eE21FxkEpWTbFHkSXA6pUmABFF2OxzFfjzOQ=w114-h86-k-no,http://pavementcoffeehouse.com/,"ORDER AHEAD ; Spring has sprung ; Explore our menu items ; FIND A LOCATION ; ORDER
AHEAD ; FREE SHIPPING ALWAYS ; GET STARTED ; Customers are saying ; Underwhelming taste
Deepak
Rathskeller House Blend ; Underwhelming taste ; Rathskeller House Blend ; JOIN THE PAVEMENT TEAM ; GROW WITH US ; Dont worry, we keep it pretty casual. ; OUR STORY ; JOBS"
Cafe Weekend,BOS-AL-102,42.3502999,-71.1678518,"120 Harvard Ave, Boston, MA 02134, United States",2134,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepQIt8yLPKUmMSPJG8dWY5VsuDw2xSz3ELMH5sBuGmCf97x7S6iobjYhBX3UH44nIhccjW6OXimDFG5VETeKTO4PjarPHlyFD0UXdP0XekKZ6xephujkFaer1R3U-27PqJpxKduBA=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepQIt8yLPKUmMSPJG8dWY5VsuDw2xSz3ELMH5sBuGmCf97x7S6iobjYhBX3UH44nIhccjW6OXimDFG5VETeKTO4PjarPHlyFD0UXdP0XekKZ6xephujkFaer1R3U-27PqJpxKduBA=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerqOTJDigTy-BtLv1IV_QfJ8rp9E245Q7ahlW1EE9-Xu4TZj1EE0v4jovJHm9jgm6WFttILjwTqPn8P-At6ohcvCtaC1fsthsFis4XRctkWYgpbW3xacDtinXiZiLmO1zavZErS=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoPNcJ6fV_YPuZR7iVNKxrsZaW9YPYqCHaMrDk8cLp3RWF3rjD4Blb77B8B0VQ1LvqLbV-_AzioQc_clP0fCOTBJGXGoedQhsx7-nEHuqLiNfn0rsuSF6fYCqoXhnUAPHKxfQleIg=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweqtDYYjRYZqHNlIlT2dcSDL5aQ0vqs0ghHsZ2Cx4B81QGdX6j7G1j-cAZGqrcsijAEH7IidneECJt-rkKWEYPUn5ALSB1J-YABntKjfaK4dbvmqbPkm7JKbSgmWGPn10yBKSfw7XA=w152-h86-k-no,https://cafeweekend120.wixsite.com/cafeweekend,"MENU ; We Make Your Everyday
Feel like the Weekend ; Address ; 120 Harvard Ave.
Allston, MA 02134 ; Cafeweekend120gmail.com ; Opening Hours ; Mon - Fri ; 730 am  900 pm ; Saturday ; 730 am  1030 pm ; Sunday ; 2023 by Cafe Weekend"
Kohi Coffee Company,BOS-AL-103,42.3502999,-71.1678518,"92 Guest St, Boston, MA 02135, United States",2135,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoPNcJ6fV_YPuZR7iVNKxrsZaW9YPYqCHaMrDk8cLp3RWF3rjD4Blb77B8B0VQ1LvqLbV-_AzioQc_clP0fCOTBJGXGoedQhsx7-nEHuqLiNfn0rsuSF6fYCqoXhnUAPHKxfQleIg=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepQIt8yLPKUmMSPJG8dWY5VsuDw2xSz3ELMH5sBuGmCf97x7S6iobjYhBX3UH44nIhccjW6OXimDFG5VETeKTO4PjarPHlyFD0UXdP0XekKZ6xephujkFaer1R3U-27PqJpxKduBA=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepQIt8yLPKUmMSPJG8dWY5VsuDw2xSz3ELMH5sBuGmCf97x7S6iobjYhBX3UH44nIhccjW6OXimDFG5VETeKTO4PjarPHlyFD0UXdP0XekKZ6xephujkFaer1R3U-27PqJpxKduBA=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerqOTJDigTy-BtLv1IV_QfJ8rp9E245Q7ahlW1EE9-Xu4TZj1EE0v4jovJHm9jgm6WFttILjwTqPn8P-At6ohcvCtaC1fsthsFis4XRctkWYgpbW3xacDtinXiZiLmO1zavZErS=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoPNcJ6fV_YPuZR7iVNKxrsZaW9YPYqCHaMrDk8cLp3RWF3rjD4Blb77B8B0VQ1LvqLbV-_AzioQc_clP0fCOTBJGXGoedQhsx7-nEHuqLiNfn0rsuSF6fYCqoXhnUAPHKxfQleIg=w86-h114-k-no,http://www.kohicoffee.com/,"Press ; Careers ; Established 2014 in Provincetown, MA ; Provincetown ; 199 Commercial St
Provincetown, MA 02657 ; Open daily 7am - 5pm ; Boston Landing ; 92 Guest St
Brighton, MA 02135 ; Open daily 730am - 500pm ; South End ; 40 Berkeley St
Boston, MA 02116 ; Weekdays  700am - 400pm
Weekends  800am - 400pm ; infokohicoffee.com"
Glasser Coffee Co.,BOS-AL-104,42.3505283,-71.2016797,"589 Washington St, Brighton, MA 02135, United States",2135,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo-59o2BXyXE-b4ujy_Do8HKg8s712Pa7jM0MmyDvf6F82COt0xqNI7iLVVZ-GE97RQUjncfr7BkQMR_fzRWCTLLGd7cStJ2Tb3z7eE21FxkEpWTbFHkSXA6pUmABFF2OxzFfjzOQ=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoPNcJ6fV_YPuZR7iVNKxrsZaW9YPYqCHaMrDk8cLp3RWF3rjD4Blb77B8B0VQ1LvqLbV-_AzioQc_clP0fCOTBJGXGoedQhsx7-nEHuqLiNfn0rsuSF6fYCqoXhnUAPHKxfQleIg=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepQIt8yLPKUmMSPJG8dWY5VsuDw2xSz3ELMH5sBuGmCf97x7S6iobjYhBX3UH44nIhccjW6OXimDFG5VETeKTO4PjarPHlyFD0UXdP0XekKZ6xephujkFaer1R3U-27PqJpxKduBA=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerqOTJDigTy-BtLv1IV_QfJ8rp9E245Q7ahlW1EE9-Xu4TZj1EE0v4jovJHm9jgm6WFttILjwTqPn8P-At6ohcvCtaC1fsthsFis4XRctkWYgpbW3xacDtinXiZiLmO1zavZErS=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoPNcJ6fV_YPuZR7iVNKxrsZaW9YPYqCHaMrDk8cLp3RWF3rjD4Blb77B8B0VQ1LvqLbV-_AzioQc_clP0fCOTBJGXGoedQhsx7-nEHuqLiNfn0rsuSF6fYCqoXhnUAPHKxfQleIg=w86-h114-k-no,https://www.glassercoffee.co/,PLACE AN ORDER ; THE COFFEE ; OUR STORE
Cafenation Cafe & Roastery,BOS-AL-105,42.3505283,-71.2016797,"380 Washington St, Brighton, MA 02135, United States",2135,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoczdo_lIT-DwHhwYcZSvVvs8U_W5RsfD2Uubr3HRmtRlGAaqRAfTdF222Shud9Q3wT6RDRp3C5s_ymDeUMW-DpdEJmD-UBHASjaIzO2_n272GVtxUDBfUUKzd2Q_WSUnNZ6NzQ=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweo-59o2BXyXE-b4ujy_Do8HKg8s712Pa7jM0MmyDvf6F82COt0xqNI7iLVVZ-GE97RQUjncfr7BkQMR_fzRWCTLLGd7cStJ2Tb3z7eE21FxkEpWTbFHkSXA6pUmABFF2OxzFfjzOQ=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepQIt8yLPKUmMSPJG8dWY5VsuDw2xSz3ELMH5sBuGmCf97x7S6iobjYhBX3UH44nIhccjW6OXimDFG5VETeKTO4PjarPHlyFD0UXdP0XekKZ6xephujkFaer1R3U-27PqJpxKduBA=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerqOTJDigTy-BtLv1IV_QfJ8rp9E245Q7ahlW1EE9-Xu4TZj1EE0v4jovJHm9jgm6WFttILjwTqPn8P-At6ohcvCtaC1fsthsFis4XRctkWYgpbW3xacDtinXiZiLmO1zavZErS=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoPNcJ6fV_YPuZR7iVNKxrsZaW9YPYqCHaMrDk8cLp3RWF3rjD4Blb77B8B0VQ1LvqLbV-_AzioQc_clP0fCOTBJGXGoedQhsx7-nEHuqLiNfn0rsuSF6fYCqoXhnUAPHKxfQleIg=w86-h114-k-no,http://www.cafenation.com/,"menu ; beverages ; More ; monday - friday  7am-3pm ; saturday  8am-3pm ; 380 washington st, ; brighton ma 02135 ; ordering is ; currently ; available ; in person, ; online, ; or by phone ; property of pillar brighton llc ; est 2020"
In House Cafe,BOS-AL-106,42.3505283,-71.2016797,"132 Chestnut Hill Ave, Brighton, MA 02135, United States",2135,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerBYU3fm64BhdHCnLoZ9EHIdqWX4XV1dvOdhVRiqHvn30qQ5QIHYTqx1VIr1xlurBneCWB5His4wdE8mKLeISX6I80LG7cs0K-QGpeX6fonbERcEeJkTU7cayPzItUU5NWiAy6c=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoczdo_lIT-DwHhwYcZSvVvs8U_W5RsfD2Uubr3HRmtRlGAaqRAfTdF222Shud9Q3wT6RDRp3C5s_ymDeUMW-DpdEJmD-UBHASjaIzO2_n272GVtxUDBfUUKzd2Q_WSUnNZ6NzQ=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepQIt8yLPKUmMSPJG8dWY5VsuDw2xSz3ELMH5sBuGmCf97x7S6iobjYhBX3UH44nIhccjW6OXimDFG5VETeKTO4PjarPHlyFD0UXdP0XekKZ6xephujkFaer1R3U-27PqJpxKduBA=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerqOTJDigTy-BtLv1IV_QfJ8rp9E245Q7ahlW1EE9-Xu4TZj1EE0v4jovJHm9jgm6WFttILjwTqPn8P-At6ohcvCtaC1fsthsFis4XRctkWYgpbW3xacDtinXiZiLmO1zavZErS=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoPNcJ6fV_YPuZR7iVNKxrsZaW9YPYqCHaMrDk8cLp3RWF3rjD4Blb77B8B0VQ1LvqLbV-_AzioQc_clP0fCOTBJGXGoedQhsx7-nEHuqLiNfn0rsuSF6fYCqoXhnUAPHKxfQleIg=w86-h114-k-no,http://inhousecafe.com/,"MENU ; DRINKS ; SPECIALS ; EVENTS ; ORDER ; RESERVE ; PARTIES ; JOBS ; BREAKFAST MENU ; LUNCH MENU ; FREESTYLE OF EGG ; In - House Sirloin  Eggs ; Sweet Royal ; The Hungry Traveller ; Greek Style ; The Irish Way ; Green Eggs All The Way Aleppo Style ; Biscuits  Hollandaise Combo ; Shakshuka ; OMELETTE ; In - House Traditional Omelette ; Chicken Fajita Omelette ; Western Omelette ; Green pepper, onion, turkey ham, and American cheese. ; Meat Lovers Delight Omelette ; Turkey Sausage, turkey bacon, turkey ham, and cheese. ; Soprano Omelette ; Simply Cheese Omelette ; With American, cheddar, and mozzarella cheese. ; Mexican Omelette ; Smoked Salmon Omelette ; Mediterranean Omelette ; Broccoli Omelette ; Mushroom Omelette ; Sauted mushroom, salt  pepper, and American cheese. ; Florentine Omelette ; Fresh-steamed spinach, tomato, and Hollandaise sauce. ; Veggie Omelette ; Sauted onion, pepper, mushroom, spinach, and tomato. ; White House Omelette ; Egg white omlette with sauted mushrooms and onion. ; Veggie Breakfast Burrito Omelette ; GOURMET SAVORY CREPE ; The Country Crepe ; Steak  Cheese Crepe ; Smoked Salmon Crepe ; Mediterranean Crepe ; Mushroom Crepe ; Avocado Crepe ; SWEET CREPE"
Tatte Bakery & Cafe | Harvard Square,BOS-AL-107,42.3726069,-71.1530145,"1288 Massachusetts Ave, Cambridge, MA 02138, United States",2138,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo5EYtuo-O_jt34DCQAnySjVReiX1C15EuQ_7aZ9qyYtLiBz5tMUMPRHAG0PPMH3jGM4WP3wXWVXaTkNny8emSTa8N0UeyVy5MJboqcgIPlvQ91dq4hZ12zsb6pIjgTSfWnlhdiiQ=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerBYU3fm64BhdHCnLoZ9EHIdqWX4XV1dvOdhVRiqHvn30qQ5QIHYTqx1VIr1xlurBneCWB5His4wdE8mKLeISX6I80LG7cs0K-QGpeX6fonbERcEeJkTU7cayPzItUU5NWiAy6c=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepQIt8yLPKUmMSPJG8dWY5VsuDw2xSz3ELMH5sBuGmCf97x7S6iobjYhBX3UH44nIhccjW6OXimDFG5VETeKTO4PjarPHlyFD0UXdP0XekKZ6xephujkFaer1R3U-27PqJpxKduBA=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerqOTJDigTy-BtLv1IV_QfJ8rp9E245Q7ahlW1EE9-Xu4TZj1EE0v4jovJHm9jgm6WFttILjwTqPn8P-At6ohcvCtaC1fsthsFis4XRctkWYgpbW3xacDtinXiZiLmO1zavZErS=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoPNcJ6fV_YPuZR7iVNKxrsZaW9YPYqCHaMrDk8cLp3RWF3rjD4Blb77B8B0VQ1LvqLbV-_AzioQc_clP0fCOTBJGXGoedQhsx7-nEHuqLiNfn0rsuSF6fYCqoXhnUAPHKxfQleIg=w86-h114-k-no,https://tattebakery.com/,"ORDER ; FULL MENU ; KITCHEN ; BAKERY ; DRINKS ; Roasted Salmon  Spring Vegetable Rice Bowl ; Maple, Squash  Chicken Salad ; Potato, Mushroom,  Bacon Shakshuka ; Warm Oatmeal  Fruit ; Chocolate Covered Matzo Bark ; Matzo covered in Valrhona dark chocolate. Contains Wheat ; Iced Black Sesame Latte - 16 oz ; Black Sesame Latte - 12 oz ; Easter Egg Cookie Bag 4 CT ; Orange Upside Down Cake Slice ; Coconut Macaroons 6 CT ; Strawberry Turnover ; Lemon Raspberry Pavlova IND ; Honey Carrot Cake Slice ; Petit Cloud Assortment GF ; Monkey Bread ; Royal Icing Egg Cookie ; Coconut Macaroons IND ; Breakfast Sandwich ; Croissant Breakfast Sandwich ; House Breakfast Plate ; Smoked Salmon, Avocado,  Egg Sandwich ; Halloumi  Sunny-Side Breakfast Sandwich ; Sausage Breakfast Sandwich ; Tomato  Goat Cheese Scrambled Egg Plate ; Prosciutto  Parmesan Scrambled Egg Plate ; Muesli ; Ham  Cheddar Quiche  Salad ; Leek, Potato  Spinach Quiche  Salad ; Lamb Hash ; Egg in the Hole with Ham  Cheese ; Egg in the Hole ; Croque Madame ; Croque Monsieur ; Toast ; Toasted housemade bread served with butter. ; Bread  Butter ; Chicken Pita ; Turkey BLAT ; Turkey Avocado Sandwich ; BLAT ; Chicken Salad Sandwich ; Fresh Mozzarella Sandwich ; Short Rib Grilled Cheese Sandwich ; Avocado Tartine"
Oba Bakery & Cafe,BOS-AL-108,42.3520807,-71.1619237,"16 Brighton Ave, Boston, MA 02134, United States",2134,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq8r40pfNdn3eK5trc4oBYhQuyISsZ3SPTku6i2Y8glWqUOHvBZjBUNrEk3DeLnSX7b_5qeTsyxZVPUBHzuhAYGRh53jfoqecRDr9JpEAVCtSB-C1F4m6i4N4G7ZjM1JAEUWdGFyg=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweo5EYtuo-O_jt34DCQAnySjVReiX1C15EuQ_7aZ9qyYtLiBz5tMUMPRHAG0PPMH3jGM4WP3wXWVXaTkNny8emSTa8N0UeyVy5MJboqcgIPlvQ91dq4hZ12zsb6pIjgTSfWnlhdiiQ=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepQIt8yLPKUmMSPJG8dWY5VsuDw2xSz3ELMH5sBuGmCf97x7S6iobjYhBX3UH44nIhccjW6OXimDFG5VETeKTO4PjarPHlyFD0UXdP0XekKZ6xephujkFaer1R3U-27PqJpxKduBA=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerqOTJDigTy-BtLv1IV_QfJ8rp9E245Q7ahlW1EE9-Xu4TZj1EE0v4jovJHm9jgm6WFttILjwTqPn8P-At6ohcvCtaC1fsthsFis4XRctkWYgpbW3xacDtinXiZiLmO1zavZErS=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoPNcJ6fV_YPuZR7iVNKxrsZaW9YPYqCHaMrDk8cLp3RWF3rjD4Blb77B8B0VQ1LvqLbV-_AzioQc_clP0fCOTBJGXGoedQhsx7-nEHuqLiNfn0rsuSF6fYCqoXhnUAPHKxfQleIg=w86-h114-k-no,http://www.obabakerycafe.com/,"16 BRIGHTON AVE, BOSTON, MA, 02135, US ; Open
800 AM - 1000 PM EDT ; Menu


Baklava
Combos
Bagel
Sandwich
Dessert
More ; Order ahead and earn rewards on the Clover app ; United States English"
Tatte Bakery & Cafe | Coolidge Corner,BOS-AL-109,42.3520807,-71.1619237,"420 Harvard St, Brookline, MA 02446, United States",2446,https://lh3.googleusercontent.com/gps-cs-s/AHVAweowKziY_D9SVrLVj8Gw8TcS_Q6EmyHq2Em997EWLEHFFe9A7J2834_R4PgAMM_ORb7sPGaV4Ngpy8bQ9H1CTQeDdAtwZE1aohN0JM0Oi1ooqTYKrK3Rj3P28gdiEzg7cILsc0pam0UAM6PR=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweq8r40pfNdn3eK5trc4oBYhQuyISsZ3SPTku6i2Y8glWqUOHvBZjBUNrEk3DeLnSX7b_5qeTsyxZVPUBHzuhAYGRh53jfoqecRDr9JpEAVCtSB-C1F4m6i4N4G7ZjM1JAEUWdGFyg=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepQIt8yLPKUmMSPJG8dWY5VsuDw2xSz3ELMH5sBuGmCf97x7S6iobjYhBX3UH44nIhccjW6OXimDFG5VETeKTO4PjarPHlyFD0UXdP0XekKZ6xephujkFaer1R3U-27PqJpxKduBA=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerqOTJDigTy-BtLv1IV_QfJ8rp9E245Q7ahlW1EE9-Xu4TZj1EE0v4jovJHm9jgm6WFttILjwTqPn8P-At6ohcvCtaC1fsthsFis4XRctkWYgpbW3xacDtinXiZiLmO1zavZErS=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoPNcJ6fV_YPuZR7iVNKxrsZaW9YPYqCHaMrDk8cLp3RWF3rjD4Blb77B8B0VQ1LvqLbV-_AzioQc_clP0fCOTBJGXGoedQhsx7-nEHuqLiNfn0rsuSF6fYCqoXhnUAPHKxfQleIg=w86-h114-k-no,https://tattebakery.com/,"ORDER ; FULL MENU ; KITCHEN ; BAKERY ; DRINKS ; Roasted Salmon  Spring Vegetable Rice Bowl ; Maple, Squash  Chicken Salad ; Potato, Mushroom,  Bacon Shakshuka ; Warm Oatmeal  Fruit ; Chocolate Covered Matzo Bark ; Matzo covered in Valrhona dark chocolate. Contains Wheat ; Iced Black Sesame Latte - 16 oz ; Black Sesame Latte - 12 oz ; Easter Egg Cookie Bag 4 CT ; Orange Upside Down Cake Slice ; Coconut Macaroons 6 CT ; Strawberry Turnover ; Lemon Raspberry Pavlova IND ; Honey Carrot Cake Slice ; Petit Cloud Assortment GF ; Monkey Bread ; Royal Icing Egg Cookie ; Coconut Macaroons IND ; Breakfast Sandwich ; Croissant Breakfast Sandwich ; House Breakfast Plate ; Smoked Salmon, Avocado,  Egg Sandwich ; Halloumi  Sunny-Side Breakfast Sandwich ; Sausage Breakfast Sandwich ; Tomato  Goat Cheese Scrambled Egg Plate ; Prosciutto  Parmesan Scrambled Egg Plate ; Muesli ; Ham  Cheddar Quiche  Salad ; Leek, Potato  Spinach Quiche  Salad ; Lamb Hash ; Egg in the Hole with Ham  Cheese ; Egg in the Hole ; Croque Madame ; Croque Monsieur ; Toast ; Toasted housemade bread served with butter. ; Bread  Butter ; Chicken Pita ; Turkey BLAT ; Turkey Avocado Sandwich ; BLAT ; Chicken Salad Sandwich ; Fresh Mozzarella Sandwich ; Short Rib Grilled Cheese Sandwich ; Avocado Tartine"
Clear Flour Coffee Bar,BOS-AL-110,42.3520807,-71.1619237,"180 Thorndike St, Brookline, MA 02446, United States",2446,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo6LSY8SpeTV33VYfB3qPPeAK2QNqYA9wyunx4qITIn3VMOIHDV_qXdR3uahafJeIxun5sSVZ2kHCIAB2jUL3zJi4sagsnpQ1K0_jjNltMuwHET7LtBYMKWXkNHgBle_GlkuyPFxg=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweowKziY_D9SVrLVj8Gw8TcS_Q6EmyHq2Em997EWLEHFFe9A7J2834_R4PgAMM_ORb7sPGaV4Ngpy8bQ9H1CTQeDdAtwZE1aohN0JM0Oi1ooqTYKrK3Rj3P28gdiEzg7cILsc0pam0UAM6PR=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepQIt8yLPKUmMSPJG8dWY5VsuDw2xSz3ELMH5sBuGmCf97x7S6iobjYhBX3UH44nIhccjW6OXimDFG5VETeKTO4PjarPHlyFD0UXdP0XekKZ6xephujkFaer1R3U-27PqJpxKduBA=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerqOTJDigTy-BtLv1IV_QfJ8rp9E245Q7ahlW1EE9-Xu4TZj1EE0v4jovJHm9jgm6WFttILjwTqPn8P-At6ohcvCtaC1fsthsFis4XRctkWYgpbW3xacDtinXiZiLmO1zavZErS=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoPNcJ6fV_YPuZR7iVNKxrsZaW9YPYqCHaMrDk8cLp3RWF3rjD4Blb77B8B0VQ1LvqLbV-_AzioQc_clP0fCOTBJGXGoedQhsx7-nEHuqLiNfn0rsuSF6fYCqoXhnUAPHKxfQleIg=w86-h114-k-no,https://clearflourbread.com/,"coffee bar ; breads ; pastries ; specials ; denotes items containing tree nuts ; OUR PRODUCTS ; breads
pastries
  specials
  pizza dough instructions ; pizza dough instructions ; MORE ; farmers markets ; world peace cookie donation ; QUESTIONS ; allergens ; storing our bread  pastries ; employment opportunities ; pizza night ; LOCATION ; 178 Thorndike Street
Brookline, MA 02446
  617 739-0060 ; 178 Thorndike Street ; Brookline, MA 02446 ; HOURS, bakery ; MondayFriday 8am6pm ; SaturdaySunday 9am6pm ; Sunday, 45 9am6pm ; HOURS, coffee bar ; MondaySunday 8am3pm
Sunday, 45 8am3pm ; MondaySunday 8am3pm ; Sunday, 45 8am3pm ; 2025 by Clear Flour Bread"
