Name,Shop Code,Latitude,Longitude,Full Address,Pincode
"The Pradakshina Cafe | Best South Indian Cafe In Gota, Ahmedabad",AMD-SGH-101,23.1144293,72.5023,", Shop No. 02, Block B, Ground Floor, Money Plant High Street, Jagatpur Road, Sarkhej - Gandhinagar Hwy, near BSNL Office, Gota, Ahmedabad, Gujarat 382470",382470
THE VIBE-X Rooftop Restro Cafe & Luxury Banquet,AMD-SGH-133,23.1203563,72.5761436,", 6th & 7th floor Happy height building, nr. Tapovan Circle, opp. Dwarkesh radiance, Chandkheda, Ahmedabad, Gujarat 382421",382421
Motorcycle Club,AMD-SGH-134,23.0936905,72.4944146,", Nr Gota Cross Road At the ending point of Gota overbridge towards Sola Bhagwat, Sarkhej - Gandhinagar Hwy, next to New Egg World, Gota, Ahmedabad, Gujarat 382481",382481
The Barnyard Co.,AMD-SGH-135,23.1333714,72.5268358,", Sardar Patel Ring Rd, Chandkheda, Ahmedabad, Gujarat 382470",382470
Pavan Mexican Story,AMD-SGH-136,23.1045597,72.4981076,", Manekchowk Foodcourt, Sarkhej - Gandhinagar Hwy, Gota, Ahmedabad, Gujarat 382481",382481
Black Bagheera,AMD-SGH-144,23.0869524,72.4907778,", bhagvat mandir road, next to mangalya vatika 1&2, near high court, Sola, Ahmedabad, Gujarat 380060",380060
Crazy Plant Lady Café - Plant Store | Bakery | Events & Co-working Space,AMD-SGH-156,23.0673749,72.5254764,", L-16, Swatantra Senani Nagar, Naranpura, Ahmedabad, Gujarat 380013",380013
The House of Makeba - Veg Family Dining Restaurant in Science City,AMD-SGH-157,23.0750608,72.4736769,", 6th Floor, 601, Sangam Saphire, Science City Rd, near Hetarth Party Plot, Sola, Ahmedabad, Gujarat 380060",380060
Aroma cafe & restro,AMD-SGH-161,23.0899117,72.4968473,", GF - 08, Rudram icon, Gota, Ahmedabad, Gujarat 382481",382481
Oven the Bakery & Cafe,AMD-SGH-163,23.0762337,72.4725896,", Ozone Solitaire, C-7, Science City Rd, opp. Hetarth Party Plot, Sola, Ahmedabad, Gujarat 380060",380060
Seven Cafe-rooftop cafe,AMD-SGH-179,23.0455531,72.4757448,", New Judges Bungalow Road, Sarkhej - Gandhinagar Hwy, opp. High Court of Gujarat, Ahmedabad, Gujarat 380061",380061
Hocco Eatery,AMD-SGH-180,23.0750245,72.4752684,", RIDDHI EATERY SCIENCE CITY,SHOP NO. 1-2-3, SATYAM COMPLEX, ,OPP. J.B.R. ARCADE, SCIENCE CITY ROAD, SOLA, Ahmedabad, Gujarat 380060",380060
Yuvi The Cafe | Thaltej Cross Road,AMD-SGH-182,23.0462286,72.5096824,", Patel Society, Jai Ambe Nagar, Thaltej, Ahmedabad, Gujarat 380054",380054
Kith & Kin - Coffee and More,AMD-SGH-186,23.0521368,72.4829196,", Kith & kin cafe, Westface, Thaltej, Ahmedabad, Gujarat 380054",380054
Roastea - On The Go,AMD-SGH-189,23.0579168,72.5026997,", 5th Floor, Palladium Mall, Sarkhej - Gandhinagar Hwy, Thaltej, Ahmedabad, Gujarat 380054",380054
Caffix- The Tech Cafe,AMD-SGH-191,23.0449837,72.4806163,", Third Floor, 301, Soham Pristine, above Vadilal Happiness, PRL Colony, Thaltej, Ahmedabad, Gujarat 380059",380059
APNAA ADDAA,AMD-SGH-197,23.0437246,72.4967412,", 2GV7+FWJ, Opp Hotel The Grandeden, Sarkhej - Gandhinagar Hwy, near The Grand Bhagwati, Bodakdev, Ahmedabad, Gujarat 380054",380054
Tealogy Cafe,AMD-SGH-206,23.0510638,72.50777,", SHOP NO :- 14, F.F, near Bloom Suites Tv Tower, Goyal Intercity, Nilmani Society, Thaltej, Ahmedabad, Gujarat 380054",380054
Ares cafe,AMD-SGH-212,23.0428236,72.4653383,", Sindhubhavan Marg, PRL Colony, Thaltej, Ahmedabad, Gujarat 380058",380058
Baithak - The Cafe,AMD-SGH-213,23.0511341,72.5008667,", Ground Floor, Thaltej Cross Road, Inside Titanium Square building, Sarkhej - Gandhinagar Hwy, beside CLUB HOUSE, Ahmedabad, Gujarat 380054",380054
Veranda rooftop restro cafe @ Shilaj,AMD-SGH-215,23.0525049,72.4626071,", 4th Floor, Shilp The Address, Shilaj, Thaltej Cross Rd, Sardar Patel Ring Rd, Ahmedabad, Gujarat 380059",380059
Shararat Restaurant & Rooftop,AMD-SGH-216,23.0356113,72.4860793,", 3rd Floor, Shilp Epitome, Sindhubhavan Rd, opp. Nayara Petrol pump, Bodakdev, Ahmedabad, Gujarat 380059",380059
Shiva's Coffee Bar - Thaltej,AMD-SGH-218,23.0587863,72.4959132,", Shop No. G-4, Signature Comp, Hebatpur Rd, Thaltej, Ahmedabad, Gujarat 380059",380059
Tea Post - The Desi Cafe,AMD-SGH-219,23.0457954,72.4658463,", Nr. Taj Lane Hotel, Sankalp Square Lane Nr. S. P. Ring Road, Sindhu Bhavan Marg, Road, Ahmedabad, Gujarat 380059",380059
Cicahda - The Freshtro Cafe,AMD-SGH-220,23.0524374,72.4825612,", Westface, 9, Zydus Hospital Rd, near Baghban Party Plot Road, Thaltej, Ahmedabad, Gujarat 380059",380059
Café Coffee Day,AMD-SGH-223,23.037852,72.4962802,", Orchid Plaza Judges Bunglow Road, Nyay Marg, opposite NRI Tower, Bodakdev, Ahmedabad, Gujarat 380054",380054
Sazzy Sizzlers (Pure-Veg),AMD-SGH-224,23.0536908,72.5020402,", GF-4, Complex, Sarkhej - Gandhinagar Hwy, near Binori Hotel, opposite Newyork Towers, Bhaikakanagar, Thaltej, Ahmedabad, Gujarat 380054",380054
"Panchat Garage, Cafe And Restaurant",AMD-SGH-225,23.061963,72.4694058,", Panchat Garage, Opp Silver Brook Tower Between Bhadaj Circle and Shilaj Circle, Sardar Patel Ring Rd, nr. Shilaj Road, Thaltej, Ahmedabad, Gujarat 380059",380059
Radhika's Authentic South Indian Food,AMD-SGH-226,23.0465203,72.5114591,", Ground Floor, Panchali Complex, Drive In Rd, opposite Asia School, Nilmani Society, Thaltej, Ahmedabad, Gujarat 380054",380054
Soul Brew Coffee,AMD-SGH-228,23.0342818,72.4940131,", Bodakdev 36 Rajpath Rowhouse, opposite Ahmedabad International School, Bodakdev, Ahmedabad, Gujarat 380015",380015
Theka SG Highway,AMD-SGH-230,23.0536465,72.5008992,", Patel Society, Jai Ambe Nagar, Thaltej, Ahmedabad, Gujarat 380054",380054
Le artisan Boulangerie,AMD-SGH-231,23.045406,72.4890656,", Sanblue Trade Link Pvt Ltd ( Veer Group), GF,B/S Avalon hotel, 9, Be Alive Media Rd, Bodakdev, Ahmedabad, Gujarat 380059",380059
Upri manzil - The Rooftop Restro Cafe,AMD-SGH-232,23.0399327,72.5116649,", 10th Floor, Amrapali Lakeview Tower, A-1001, opp. Nexus Ahmedabad One, Vastrapur, Ahmedabad, Gujarat 380015",380015
