Name,Shop Code,Latitude,Longitude,Price,Category,Subcategory,Taste,Description
Cyber Cafe,695666627,23.0422876,72.5699576,$$,cafe,General,Authentic,A popular coffee spot in Ahmedabad & Gandhinagar.
Chocolate Room,1313805177,23.0407234,72.5485324,$$,cafe,General,Authentic,A popular coffee spot in Ahmedabad & Gandhinagar.
"Barrista, Vijay 4 Roads",1313805178,23.0427079,72.5494685,$$,cafe,General,Authentic,A popular coffee spot in Ahmedabad & Gandhinagar.
Cafe Coffee Day,1313805179,23.0312796,72.5493907,$$,cafe,General,Authentic,A popular coffee spot in Ahmedabad & Gandhinagar.
Chai Gate!!!,1429887846,23.0120603,72.5691606,$$,cafe,indian,Authentic,A popular indian spot in Ahmedabad & Gandhinagar.
Ken's Koffee Plus Plus,2679948361,23.1964319,72.6328106,$$,cafe,Gujarati,Authentic,A popular Gujarati spot in Ahmedabad & Gandhinagar.
Zen Cafe,3239361169,23.0362229,72.5494261,$$,cafe,coffee;snack,Authentic,A popular coffee;snack spot in Ahmedabad & Gandhinagar.
Cafe Coffee Day,3242226330,23.0329764,72.5600005,$$,cafe,coffee_shop,Authentic,A popular coffee_shop spot in Ahmedabad & Gandhinagar.
Ghandi Cold Drink House,3306683246,23.0246187,72.5828928,$$,cafe,ice_cream,Authentic,A popular ice_cream spot in Ahmedabad & Gandhinagar.
Relief Cyber Cafe,3306683649,23.0263181,72.5830356,$$,cafe,General,Authentic,A popular coffee spot in Ahmedabad & Gandhinagar.
chocolate room,3776238978,23.0358422,72.5617312,$$,cafe,General,Authentic,A popular coffee spot in Ahmedabad & Gandhinagar.
Cafe Coffee Day,4199023903,23.0245018,72.5073318,$$,cafe,coffee_shop,Authentic,A popular coffee_shop spot in Ahmedabad & Gandhinagar.
Nescafe,4319362053,23.0371357,72.5443257,$$,cafe,General,Authentic,A popular coffee spot in Ahmedabad & Gandhinagar.
Shmbhu's cafe,4721512569,23.1653459,72.812201,$$,cafe,regional,Authentic,A popular regional spot in Ahmedabad & Gandhinagar.
Yash Farsan,4721520831,23.1655503,72.8133323,$$,cafe,regional,Authentic,A popular regional spot in Ahmedabad & Gandhinagar.
Fullfills Ahmedabad,4797416004,23.042429,72.5486687,$$,cafe,pizza,Authentic,A popular pizza spot in Ahmedabad & Gandhinagar.
quinches,4797416005,23.0416337,72.5490709,$$,cafe,pizza,Authentic,A popular pizza spot in Ahmedabad & Gandhinagar.
uno pizza,4797416006,23.042389,72.5492178,$$,cafe,General,Authentic,A popular coffee spot in Ahmedabad & Gandhinagar.
The Cafe Baraco,5029238558,23.0444534,72.5505062,$$,cafe,Multi_Cuisine,Authentic,A popular Multi_Cuisine spot in Ahmedabad & Gandhinagar.
Seva Cafe,5276640722,23.0346667,72.5603703,$$,cafe,General,Authentic,A popular coffee spot in Ahmedabad & Gandhinagar.
Unlocked,5329590125,23.033026,72.5577346,$$,cafe,General,Authentic,A popular coffee spot in Ahmedabad & Gandhinagar.
Cafe udipi richi,5340470022,23.0320819,72.5600295,$$,cafe,General,Authentic,A popular coffee spot in Ahmedabad & Gandhinagar.
In-Garden Cafe,5407346983,23.0122064,72.5062163,$$,cafe,General,Authentic,A popular coffee spot in Ahmedabad & Gandhinagar.
Udipi Cafe,5527662869,23.0144058,72.565418,$$,cafe,General,Authentic,A popular coffee spot in Ahmedabad & Gandhinagar.
Khetlaapa Tea Shop,6113416289,23.1931868,72.6148754,$$,cafe,coffee_shop;sandwich;teahouse,Authentic,A popular coffee_shop;sandwich;teahouse spot in Ahmedabad & Gandhinagar.
7 Colours Pan Parlor,6113416290,23.1950881,72.6146833,$$,cafe,General,Authentic,A popular coffee spot in Ahmedabad & Gandhinagar.
cabana lounge,6649963089,23.0355672,72.5061396,$$,cafe,pizza;italian;coffee_shop;indian,Authentic,A popular pizza;italian;coffee_shop;indian spot in Ahmedabad & Gandhinagar.
The Cafe Date,7137331982,23.034043,72.5018226,$$,cafe,General,Authentic,A popular coffee spot in Ahmedabad & Gandhinagar.
Unnamed Cafe,7486748864,9.9144616,76.7643424,$$,cafe,General,Authentic,A popular coffee spot in Ahmedabad & Gandhinagar.
Coffee Stand-CG Road,8039346176,23.0360509,72.5611735,$$,cafe,pizza;coffee_shop;sandwich;italian;ice_cream;regional;mexican,Authentic,A popular pizza;coffee_shop;sandwich;italian;ice_cream;regional;mexican spot in Ahmedabad & Gandhinagar.
Deshi Chulha Non-veg,8847682611,23.0158336,72.5508007,$$,cafe,General,Authentic,A popular coffee spot in Ahmedabad & Gandhinagar.
Bean Box Cafe,8847682612,23.0451215,72.4854863,$$,cafe,General,Authentic,A popular coffee spot in Ahmedabad & Gandhinagar.
Crush Culture Cafe Bar,9078990286,23.0875987,72.6839578,$$,cafe,coffee_shop;pizza;burger;sandwich,Authentic,A popular coffee_shop;pizza;burger;sandwich spot in Ahmedabad & Gandhinagar.
Dadu Cafe,9116794693,23.0496098,72.6705415,$$,cafe,pizza;regional;burger;coffee_shop;italian;chinese;sandwich;asian;indian,Authentic,A popular pizza;regional;burger;coffee_shop;italian;chinese;sandwich;asian;indian spot in Ahmedabad & Gandhinagar.
Starbucks,9292073779,23.0319557,72.5107614,$$,cafe,coffee_shop,Authentic,A popular coffee_shop spot in Ahmedabad & Gandhinagar.
mocha,9292073782,23.0318311,72.511298,$$,cafe,General,Authentic,A popular coffee spot in Ahmedabad & Gandhinagar.
Plumeria Cafe,9660433812,22.961352,72.4239095,$$,cafe,General,Authentic,A popular coffee spot in Ahmedabad & Gandhinagar.
Shiva's Cafe,9806747713,23.1923234,72.6165249,$$,cafe,coffee_shop;pizza;burger;italian;sandwich,Authentic,A popular coffee_shop;pizza;burger;italian;sandwich spot in Ahmedabad & Gandhinagar.
Authentic cafe,10225625719,23.0319107,72.5883477,$$,cafe,indian,Authentic,A popular indian spot in Ahmedabad & Gandhinagar.
Choco drama,10750415881,23.0410761,72.5269272,$$,cafe,General,Authentic,A popular coffee spot in Ahmedabad & Gandhinagar.
Scoop N Munch,11419836108,23.1361303,72.5502307,$$,cafe,ice_cream;waffle;shakes,Authentic,A popular ice_cream;waffle;shakes spot in Ahmedabad & Gandhinagar.
Stallions Cafe,11575789971,23.0843166,72.4878637,$$,cafe,coffee_shop;fast_food,Authentic,A popular coffee_shop;fast_food spot in Ahmedabad & Gandhinagar.
The Gyan Café,11773753701,23.1048411,72.5379754,$$,cafe,General,Authentic,A popular coffee spot in Ahmedabad & Gandhinagar.
The dark roast,12590599051,23.0124903,72.5033515,$$,cafe,General,Authentic,A popular coffee spot in Ahmedabad & Gandhinagar.
Starbucks,12726457252,23.1849638,72.6304054,$$,cafe,coffee_shop,Authentic,A popular coffee_shop spot in Ahmedabad & Gandhinagar.
Banna's Tea Stall,12732749099,23.1885733,72.6302431,$$,cafe,tea;noodle,Authentic,A popular tea;noodle spot in Ahmedabad & Gandhinagar.
Sambhar Cafe,12809748225,23.0334428,72.4370691,$$,cafe,General,Authentic,A popular coffee spot in Ahmedabad & Gandhinagar.
Kettl Cafe Sarkhej-Sanand Rd.,13434133836,22.9876163,72.4476696,$$,cafe,coffee_shop;burger;sandwich;waffle;tea,Authentic,A popular coffee_shop;burger;sandwich;waffle;tea spot in Ahmedabad & Gandhinagar.
Upper crust cafe,367198356,23.0410843,72.5269296,$$,cafe,General,Authentic,A popular coffee spot in Ahmedabad & Gandhinagar.
MG Science Canteen,404227760,23.0347461,72.5514151,$$,cafe,General,Authentic,A popular coffee spot in Ahmedabad & Gandhinagar.
Vibes9 V9 Cafe,993060289,23.0677778,72.4870557,$$,cafe,General,Authentic,A popular coffee spot in Ahmedabad & Gandhinagar.
Anticlock Canteen,997945841,23.2024101,72.5831926,$$,cafe,General,Authentic,A popular coffee spot in Ahmedabad & Gandhinagar.
Camilo Coffee,1211760600,23.0454565,72.4917071,$$,cafe,General,Authentic,A popular coffee spot in Ahmedabad & Gandhinagar.
Unnamed Cafe,1214030700,23.0431661,72.5760702,$$,cafe,General,Authentic,A popular coffee spot in Ahmedabad & Gandhinagar.
Unnamed Cafe,1214151893,23.0059096,72.569638,$$,cafe,General,Authentic,A popular coffee spot in Ahmedabad & Gandhinagar.
site,1375690863,23.0362244,72.4940097,$$,cafe,General,Authentic,A popular coffee spot in Ahmedabad & Gandhinagar.
NesCafe,1432594581,23.1885664,72.6272818,$$,cafe,General,Authentic,A popular coffee spot in Ahmedabad & Gandhinagar.
K ++,1432594583,23.1886074,72.6269134,$$,cafe,coffee_shop,Authentic,A popular coffee_shop spot in Ahmedabad & Gandhinagar.
